Check,Away,Home,Check,,network,time,mediaindicator,,,
1,Wisconsin vs. Bowling Green(at Cleveland,,Cleveland,OH, OH),ESPN Plus,9/2/2006 19:00,T,,
1,Colorado vs. Colorado St.(at Denver,,Denver,CO, CO),CSTV,9/9/2006 17:00,T,,
1,Oklahoma St. vs. Arkansas St.(at Little Rock,,Little Rock,AR, AR),ESPNU,9/9/2006 19:00,T,,
1,Texas vs. Rice(at Reliant Stadium),,Reliant Stadium,,ESPN2 HD,9/16/2006 18:00,T,,,
1,Texas A&M vs. Army(at San Antonio,,San Antonio,TX, TX),ESPN2 HD,9/16/2006 21:15,T,,
1,Louisville vs. Middle Tennessee(at Nashville,,Nashville,TN, TN),ESPN2 HD,10/6/2006 20:00,T,,
1,Oklahoma vs. Texas(at Dallas,,Dallas,TX, TX),ABC HD,10/7/2006 15:30,T,,
1,Clemson vs. Temple(at Charlotte,,Charlotte,NC, NC),ESPNU,10/12/2006 19:30,T,,
1,Eastern Michigan,,#VALUE!,CS,BCSN,10/14/2006 16:00,T,,,
1,Notre Dame vs. Navy(at Baltimore,,Baltimore,MD, MD),CBS,10/28/2006 12:00,T,,
1,Florida vs. Georgia(at Jacksonville,,Jacksonville,FL, FL),CBS HD,10/28/2006 15:30,T,,
1,Arkansas vs. UL-Monroe(at Little Rock,,Little Rock,AR, AR),ESPNU,10/28/2006 19:00,T,,
1,Navy vs. Eastern Michigan(at Detroit,,Detroit,MI, MI),Comcast Local,11/11/2006 13:00,T,,
1,FIU vs. FAU(at Miami,,Miami,FL, FL),ESPN Plus,11/25/2006 19:00,T,,
1,ACC ChampionshipGeorgia Tech vs. Wake Forest(at Jacksonville,,Jacksonville,FL, FL),ABC HD,12/2/2006 13:00,T,,
1,SEC ChampionshipFlorida vs. Arkansas(at Atlanta,,Atlanta,GA, GA),CBS HD,12/2/2006 18:00,T,,
1,Big 12 ChampionshipNebraska vs. Oklahoma(at Kansas City,,Kansas City,MO, MO),ABC HD,12/2/2006 20:00,T,,
0,Boston College,Central Michigan,0,,ESPN2 HD,8/31/2006 18:00,T,,,
0,FAU,Middle Tennessee,0,,ESPN Plus,8/31/2006 19:00,T,,,
0,Northwestern,Miami (OH),0,,ESPNU,8/31/2006 19:30,T,,,
0,Eastern Michigan,Ball St.,0,,Comcast Local,8/31/2006 19:30,T,,,
0,Minnesota,Kent St.,0,,ESPN360,8/31/2006 19:30,W,,,
0,Rhode Island,Connecticut,0,,ESPN Plus,8/31/2006 19:30,T,,,
0,Toledo,Iowa St.,0,,Mediacom-Iowa,8/31/2006 20:00,T,,,
0,South Carolina,Mississippi St.,0,,ESPN HD,8/31/2006 20:00,T,,,
0,SE Louisiana,New Mexico St.,0,,,8/31/2006 21:00,W,,,
0,Sacramento St.,Boise St.,0,,KTVB,8/31/2006 21:00,T,,,
0,UTEP,San Diego St.,0,,CSTV,8/31/2006 22:30,T,,,
0,Nevada,Fresno St.,0,,ESPN HD,9/1/2006 20:00,T,,,
0,North Texas,Texas,0,,FSN,9/2/2006 12:00,T,,,
0,Vanderbilt,Michigan,0,,ESPN HD,9/2/2006 12:00,T,,,
0,Montana,Iowa,0,,ESPNU,9/2/2006 12:00,T,,,
0,Idaho,Michigan St.,0,,ESPN Plus,9/2/2006 12:00,T,,,
0,Western Kentucky,Georgia,0,,Lincoln Financial Sports,9/2/2006 12:30,T,,,
0,Northeastern,Virginia Tech,0,,ESPN360,9/2/2006 13:30,W,,,
0,Rutgers,North Carolina,0,,ABC,9/2/2006 15:30,T,,,
