Off Site,Away,Home,City,State,network,time,mediaindicator
1,ACC Championship<br>Virginia Tech,Boston College,Tampa,FL,ABC HD,12/6/2008 13:00,T
1,Illinois,Missouri,St. Louis,MO,ESPN HD,8/30/2008 20:30,T
1,Oklahoma St.,Washington St.,Seattle,WA,FSN HD,8/30/2008 15:30,T
1,Missouri,Kansas,Kansas City,MO,FSN HD,11/29/2008 12:30,T
1,Big 12 Championship<br>Missouri,Oklahoma,Kansas City,MO,ABC HD,12/6/2008 20:00,T
1,Colorado,Florida St.,Jacksonville,FL,ABC HD,9/27/2008 15:30,T
1,Georgia,Florida,Jacksonville,FL,CBS HD,11/1/2008 15:30,T
1,Illinois,Western Michigan,Detroit,MI,ESPN Plus,11/8/2008 12:00,T
1,MAC Championship<br>Buffalo,Ball St.,Detroit,MI,ESPN2 HD,12/5/2008 20:00,T
1,Colorado St.,Colorado,Denver,CO,FSN HD,8/31/2008 19:30,T
1,Texas,Oklahoma,Dallas,TX,ABC HD,10/11/2008 12:00,T
1,Boston College,Kent St.,Cleveland,OH,ESPNU HD,8/30/2008 19:30,T
1,Notre Dame,Navy,Baltimore,MD,CBS HD,11/15/2008 12:00,T
1,Alabama,Clemson,Atlanta,GA,ABC HD,8/30/2008 20:00,T
1,SEC Championship<br>Alabama,Florida,Atlanta,GA,CBS HD,12/6/2008 16:00,T
,UTEP,Buffalo,,,Time Warner-NY,8/28/2008 19:00,T
,Northeastern,Ball St.,,,Web Video Available,8/28/2008 19:00,W
,Indiana St.,Eastern Michigan,,,Web Video Available,8/28/2008 19:00,W
,Eastern Illinois,Central Michigan,,,Web Video Available,8/28/2008 19:00,W
,Vanderbilt,Miami (OH),,,ESPNU HD,8/28/2008 19:30,T
,Troy,Middle Tennessee,,,ESPN Plus,8/28/2008 19:30,T
,Hofstra,Connecticut,,,Big East Network,8/28/2008 19:30,T
,Jacksonville St.,Georgia Tech,,,ESPN360,8/28/2008 19:30,W
,Charleston Southern,Miami (FL),,,ESPN360,8/28/2008 19:30,W
,Eastern Kentucky,Cincinnati,,,Web Video Available,8/28/2008 19:30,W
,Wake Forest,Baylor,,,FSN HD,8/28/2008 20:00,T
,South Dakota St.,Iowa St.,,,FOX College Sports,8/28/2008 20:00,T
,NC State,South Carolina,,,ESPN HD,8/28/2008 20:00,T
,Temple,Army,,,ESPN Classic,8/29/2008 19:00,T
,SMU,Rice,,,ESPN HD,8/29/2008 20:00,T
,McNeese St.,North Carolina,,,,8/30/2008 0:00,N
,FIU,Kansas,,,,8/30/2008 0:00,N
,North Texas,Kansas St.,,,,8/30/2008 0:00,N
,Arkansas St.,Texas A&M,,,,8/30/2008 0:00,N
,Eastern Washington,Texas Tech,,,,8/30/2008 0:00,N
,Southern Utah,Air Force,,,,8/30/2008 0:00,N
,Utah St.,UNLV,,,,8/30/2008 0:00,N
,Memphis,Ole Miss,,,,8/30/2008 0:00,N
,Appalachian St.,LSU,,,ESPN Classic,8/30/2008 11:00,T
,Virginia Tech,East Carolina,,,ESPN HD,8/30/2008 12:00,T
,Syracuse,Northwestern,,,ESPN2 HD,8/30/2008 12:00,T
,Western Kentucky,Indiana,,,Big Ten Network,8/30/2008 12:00,T
,Maine,Iowa,,,Big Ten Network HD,8/30/2008 12:00,T
,Youngstown St.,Ohio St.,,,Big Ten Network HD,8/30/2008 12:00,T
,Coastal Carolina,Penn St.,,,Big Ten Network HD,8/30/2008 12:00,T
,Akron,Wisconsin,,,Big Ten Network,8/30/2008 12:00,T
,Bowling Green,Pittsburgh,,,ESPNU HD,8/30/2008 12:00,T
,Hawai'i,Florida,,,Raycom Sports HD,8/30/2008 12:30,T
,Georgia Southern,Georgia,,,CSS PPV,8/30/2008 12:30,T
,Ohio,Wyoming,,,The mtn.,8/30/2008 14:00,T
,Towson,Navy,,,CBS College Sports HD,8/30/2008 15:30,T
,Villanova,West Virginia,,,Big East Network,8/30/2008 15:30,T
,Utah,Michigan,,,ABC HD,8/30/2008 15:30,T
,USC,Virginia,,,ABC HD,8/30/2008 15:30,T
,Delaware,Maryland,,,ESPN HD,8/30/2008 15:45,T
,Tulsa,UAB,,,Web Video Available,8/30/2008 16:00,W
,Illinois St.,Marshall,,,WOWK,8/30/2008 16:30,T
,TCU,New Mexico,,,Versus,8/30/2008 17:00,T
,Northern Iowa,BYU,,,The mtn.,8/30/2008 18:00,T
,South Carolina St.,UCF,,,Web Video Available,8/30/2008 18:00,W
,Mississippi St.,Louisiana Tech,,,ESPN2 HD,8/30/2008 18:45,T
,UL-Monroe,Aubnrn,,,CSS PPV,8/30/2008 19:00,T
,Southern,Houston,,,Web Video Available,8/30/2008 19:00,W
,UL-Lafayette,Southern Miss,,,Web Video Available,8/30/2008 19:00,W
,James Madison,Duke,,,ACC Select,8/30/2008 19:00,W
,Northern Illinois,Wisconsin,,,Big Ten Network HD,8/30/2008 19:00,T
,UT-Martin,USF,,,Big East Network,8/30/2008 19:00,T
,Western Michigan,Nebraska,,,FSN PPV,8/30/2008 19:00,T
,Chattanooga,Oklahoma,,,FSN PPV,8/30/2008 19:00,T
,FAU,Texas,,,FSN PPV,8/30/2008 19:00,T
,Idaho St.,Boise St.,,,KTVB,8/30/2008 20:00,T
,UC Davis,San Jose St.,,,Web Video Available,8/30/2008 20:00,W
,Grambling,Nevada,,,Web Video Available,8/30/2008 21:00,W
,Cal-Poly,San Diego St.,,,4SD,8/30/2008 21:30,T
,Kentucky,Louisville,,,ESPN HD,8/31/2008 15:30,T
,Fresno St.,Rutgers,,,ESPN HD,9/1/2008 16:00,T
,South Carolina,Vanderbilt,,,ESPN HD,9/4/2008 20:30,T
,Navy,Ball St.,,,ESPN HD,9/5/2008 19:00,T
,Northwestern St.,Baylor,,,,9/6/2008 0:00,N
,Eastern Washington,Colorado,,,,9/6/2008 0:00,N
,Kent St.,Iowa St.,,,,9/6/2008 0:00,N
,Houston,Oklahoma St.,,,,9/6/2008 0:00,N
,Sacramento St.,Colorado St.,,,,9/6/2008 0:00,N
,Stephen F. Austin,TCU,,,,9/6/2008 0:00,N
,Southeastern Louisiana,Mississippi St.,,,,9/6/2008 0:00,N
,UAB,FAU,,,,9/6/2008 0:00,N
,Connecticut,Temple,,,ESPNU HD,9/6/2008 12:00,T
,Georgia Tech,Boston College,,,Raycom Sports HD,9/6/2008 12:00,T
,Ohio,Ohio St.,,,ESPN HD,9/6/2008 12:00,T
,Miami (OH),Michigan,,,ESPN2 HD,9/6/2008 12:00,T
,Eastern Illinois,Illinois,,,Big Ten Network HD,9/6/2008 12:00,T
,FIU,Iowa,,,Big Ten Network,9/6/2008 12:00,T
,Eastern Michigan,Michigan St.,,,Big Ten Network HD,9/6/2008 12:00,T
,Northern Colorado,Purdue,,,Big Ten Network,9/6/2008 12:00,T
,Marshall,Wisconsin,,,Big Ten Network HD,9/6/2008 12:00,T
,San Jose St.,Nebraska,,,FSN PPV,9/6/2008 12:30,T
,Southern Miss,Auburn,,,Raycom Sports HD,9/6/2008 12:30,T
,New Hampshire,Army,,,ESPN Classic,9/6/2008 13:00,T
,Furman,Virginia Tech,,,ACC Select,9/6/2008 13:30,W
,The Citadel,Clemson,,,ESPN360,9/6/2008 15:30,W
,Akron,Syracuse,,,Big East Network,9/6/2008 15:30,T
,Tennessee Tech,Louisville,,,Big East Network,9/6/2008 15:30,T
,Cincinnati,Oklahoma,,,ABC,9/6/2008 15:30,T
,Oregon St.,Penn St.,,,ABC HD,9/6/2008 15:30,T
,Ole Miss,Wake Forest,,,ABC HD,9/6/2008 15:30,T
,San Diego St.,Notre Dame,,,NBC HD,9/6/2008 15:30,T
,Central Michigan,Georgia,,,SEC/FOX RSNs,9/6/2008 15:30,T
,Air Force,Wyoming,,,CBS College Sports,9/6/2008 15:30,T
,Richmond,Virginia,,,ESPNU HD,9/6/2008 15:45,T
,West Virginia,East Carolina,,,ESPN HD,9/6/2008 16:30,T
,Texas A&M,New Mexico,,,Versus,9/6/2008 17:00,T
,Idaho St.,Idaho,,,Altitude,9/6/2008 17:00,T
,Norfolk St.,Kentucky,,,Big Blue PPV,9/6/2008 18:00,T
,Western Carolina,Florida St.,,,Sun Sports PPV,9/6/2008 18:00,T
,Buffalo,Pittsburgh,,,Big East Network,9/6/2008 18:00,T
,William & Mary,NC State,,,ACC Select,9/6/2008 18:00,W
,Northwestern,Duke,,,ACC Select,9/6/2008 19:00,W
,Louisiana Tech,Kansas,,,FSN HD,9/6/2008 19:00,T
,Montana St.,Kansas St.,,,FOX College Sports,9/6/2008 19:00,T
,Southeast Missouri St.,Missouri,,,FSN PPV,9/6/2008 19:00,T
,USF,UCF,,,ESPN2 HD,9/6/2008 19:00,T
,Murray St.,Indiana,,,Big Ten Network HD,9/6/2008 19:00,T
,Tulane,Alabama,,,Crimson Tide PPV,9/6/2008 19:00,T
,UL-Monroe,Arkansas,,,ARSN PPV,9/6/2008 19:00,T
,Northern Illinois,Western Michigan,,,Web Video Available,9/6/2008 19:00,W
,Tulsa,North Texas,,,KTXA,9/6/2008 19:00,T
,Maryland,Middle Tennessee,,,CSS,9/6/2008 19:00,T
,Texas Southern,Arkansas St.,,,Web Video Available,9/6/2008 19:00,W
,Minnesota,Bowling Green,,,ESPNU HD,9/6/2008 19:30,T
,Miami (FL),Florida,,,ESPN HD,9/6/2008 20:00,T
,UNLV,Utah,,,The mtn.,9/6/2008 20:00,T
,Rice,Memphis,,,CBS College Sports,9/6/2008 20:00,T
,Texas St.,SMU,,,Web Video Available,9/6/2008 20:00,W
,Texas Tech,Nevada,,,Web Video Available,9/6/2008 21:00,W
,Texas,UTEP,,,ESPN2 HD,9/6/2008 22:15,T
,Weber St.,Hawai'i,,,Oceanic PPV,9/6/2008 23:59,T
,North Carolina,Rutgers,,,ESPN HD,9/11/2008 19:30,T
,Kansas,USF,,,ESPN2 HD,9/12/2008 20:00,T
,Washington St.,Baylor,,,FOX Sports Southwest,9/12/2008 20:30,T
,Air Force,Houston,,,,9/13/2008 0:00,N
,North Dakota St.,Wyoming,,,,9/13/2008 0:00,N
,Samford,Ole Miss,,,,9/13/2008 0:00,N
,Rice,Vanderbilt,,,,9/13/2008 0:00,N
,Temple,Buffalo,,,ESPN Plus,9/13/2008 12:00,T
,California,Maryland,,,ESPN HD,9/13/2008 12:00,T
,Navy,Duke,,,ESPNU HD,9/13/2008 12:00,T
,NC State,Clemson,,,Raycom Sports HD,9/13/2008 12:00,T
,FAU,Michigan St.,,,ESPN2 HD,9/13/2008 12:00,T
,UL-Lafayette,Illinois,,,Big Ten Network HD,9/13/2008 12:00,T
,Iowa St.,Iowa,,,Big Ten Network HD,9/13/2008 12:00,T
,Montana St.,Minnesota,,,Big Ten Network HD,9/13/2008 12:00,T
,Southern Illinois,Northwestern,,,Big Ten Network HD,9/13/2008 12:00,T
,Nevada,Missouri,,,FSN HD,9/13/2008 12:30,T
,UAB,Tennessee,,,Raycom Sports HD,9/13/2008 12:30,T
,Toledo,Eastern Michigan,,,Web Video Available,9/13/2008 13:00,W
,Ball St.,Akron,,,Web Video Available,9/13/2008 13:00,W
,Stanford,TCU,,,The mtn.,9/13/2008 13:00,T
,Missouri St.,Oklahoma St.,,,FOX College Sports,9/13/2008 13:00,T
,Delaware St.,Kent St.,,,Web Video Available,9/13/2008 14:00,W
,Charleston Southern,Miami (OH),,,Web Video Available,9/13/2008 15:00,W
,East Carolina,Tulane,,,WITN,9/13/2008 15:00,T
,Oregon,Purdue,,,ABC HD,9/13/2008 15:30,T
,Georgia Tech,Virginia Tech,,,ABC,9/13/2008 15:30,T
,Penn St.,Syracuse,,,ABC HD,9/13/2008 15:30,T
,Michigan,Notre Dame,,,NBC HD,9/13/2008 15:30,T
,Georgia,South Carolina,,,CBS HD,9/13/2008 15:30,T
,UCLA,BYU,,,Versus,9/13/2008 15:30,T
,Chattanooga,Florida St.,,,ESPNU HD,9/13/2008 15:45,T
,Western Michigan,Idaho,,,Web Video Available,9/13/2008 17:00,W
,Alcorn St.,Troy,,,Web Video Available,9/13/2008 19:00,W
,Alabama A&M,UL-Monroe,,,Web Video Available,9/13/2008 19:00,W
,Southern Miss,Arkansas St.,,,Web Video Available,9/13/2008 19:00,W
,Auburn,Mississippi St.,,,ESPN2 HD,9/13/2008 19:00,T
,Western Kentucky,Alabama,,,Crimson Tide PPV,9/13/2008 19:00,T
,Middle Tennessee,Kentucky,,,Big Blue PPV,9/13/2008 19:00,T
,Virginia,Connecticut,,,ESPNU HD,9/13/2008 19:00,T
,SMU,Texas Tech,,,FSN Regional,9/13/2008 19:00,T
,New Mexico St.,Nebraska,,,FSN PPV,9/13/2008 19:00,T
,Memphis,Marshall,,,CSS,9/13/2008 19:00,T
,North Texas,LSU,,,TigerVision PPV,9/13/2008 20:00,T
,Bowling Green,Boise St.,,,KTVB,9/13/2008 20:00,T
,Utah,Utah St.,,,KJZZ,9/13/2008 20:00,T
,Arizona,New Mexico,,,CBS College Sports,9/13/2008 20:00,T
,San Diego St.,San Jose St.,,,Web Video Available,9/13/2008 20:00,W
,Wisconsin,Fresno St.,,,ESPN2 HD,9/13/2008 22:30,T
,Kansas St.,Louisville,,,ESPN HD,9/17/2008 20:00,T
,West Virginia,Colorado,,,ESPN HD,9/18/2008 20:30,T
,Baylor,Connecticut,,,ESPN2 HD,9/19/2008 20:00,T
,Buffalo,Missouri,,,,9/20/2008 0:00,N
,Massachusetts,Texas Tech,,,,9/20/2008 0:00,N
,Houston,Colorado St.,,,,9/20/2008 0:00,N
,Vanderbilt,Ole Miss,,,,9/20/2008 0:00,N
,Iowa,Pittsburgh,,,ESPN2 HD,9/20/2008 12:00,T
,East Carolina,NC State,,,ESPN HD,9/20/2008 12:00,T
,Mississippi St.,Georgia Tech,,,Raycom Sports HD,9/20/2008 12:00,T
,FAU,Minnesota,,,Big Ten Network HD,9/20/2008 12:00,T
,Ohio,Northwestern,,,Big Ten Network,9/20/2008 12:00,T
,Troy,Ohio St.,,,Big Ten Network HD,9/20/2008 12:00,T
,Temple,Penn St.,,,Big Ten Network HD,9/20/2008 12:00,T
,Central Michigan,Purdue,,,Big Ten Network HD,9/20/2008 12:00,T
,Alabama,Arkansas,,,Raycom Sports HD,9/20/2008 12:30,T
,Akron,Army,,,ESPN Classic,9/20/2008 13:00,T
,UCF,Boston College,,,ESPNU HD,9/20/2008 13:00,T
,South Carolina St.,Clemson,,,ESPN360,9/20/2008 13:00,W
,Eastern Michigan,Maryland,,,ESPN360,9/20/2008 13:00,W
,UL-Monroe,Tulane,,,CST,9/20/2008 15:00,T
,Indiana St.,Northern Illinois,,,CSN Chicago,9/20/2008 15:00,T
,Wyoming,BYU,,,The mtn.,9/20/2008 15:00,T
,Rutgers,Navy,,,CBS College Sports HD,9/20/2008 15:30,T
,Florida,Tennessee,,,CBS HD,9/20/2008 15:30,T
,Marshall,Southern Miss,,,CSS,9/20/2008 15:30,T
,Notre Dame,Michigan St.,,,ABC HD,9/20/2008 15:30,T
,Virginia Tech,North Carolina,,,ABC HD,9/20/2008 15:30,T
,Northwestern,Syracuse,,,Big East Network,9/20/2008 15:30,T
,Miami (FL),Texas A&M,,,ABC,9/20/2008 15:30,T
,Alabama St.,UAB,,,Web Video Available,9/20/2008 16:00,W
,Utah,Air Force,,,Versus,9/20/2008 16:00,T
,Idaho,Utah St.,,,Altitude,9/20/2008 16:00,T
,SE Louisiana,Louisiana Tech,,,ESPN Plus,9/20/2008 19:00,T
,Murray St.,Western Kentucky,,,Web Video Available,9/20/2008 19:00,W
,Kent St.,UL-Lafayette,,,Web Video Available,9/20/2008 19:00,W
,Middle Tennessee,Arkansas St.,,,Web Video Available,9/20/2008 19:00,W
,Wofford,South Carolina,,,Gamecocks PPV,9/20/2008 19:00,T
,Tennessee Tech,Western Michigan,,,Web Video Available,9/20/2008 19:00,W
,New Mexico,Tulsa,,,Web Video Available,9/20/2008 19:00,W
,Ball St.,Indiana,,,Big Ten Network HD,9/20/2008 19:00,T
