F/+ Rk,Team,Rec,F/+,S&P+,Rk,FEI,Rk
1,Ohio State,14-1,69.6%,30.2,1,0.298,1
2,Alabama,12-2,66.6%,28.3,2,0.291,2
3,Oregon,13-2,58.9%,23.7,3,0.279,3
4,Georgia,10-3,55.0%,22.6,7,0.253,4
5,Ole Miss,9-4,50.1%,23.0,6,0.206,7
6,TCU,12-1,49.3%,19.4,8,0.242,6
7,Auburn,8-5,49.1%,23.6,4,0.195,9
8,Georgia Tech,11-3,48.6%,18.7,10,0.248,5
9,Arkansas,7-6,44.9%,23.1,5,0.170,15
10,Baylor,11-2,42.2%,17.2,14,0.199,8
11,Michigan State,11-2,42.1%,18.6,11,0.181,10
12,UCLA,10-3,41.2%,19.0,9,0.170,13
13,Mississippi State,10-3,40.6%,17.8,12,0.176,12
14,Clemson,10-3,36.4%,15.5,17,0.164,16
15,Florida State,13-1,35.2%,13.7,22,0.178,11
16,USC,9-4,35.1%,14.2,20,0.170,14
17,Marshall,13-1,34.4%,14.1,21,0.163,17
18,Stanford,8-5,33.9%,16.6,15,0.133,21
19,Oklahoma,8-5,32.7%,17.7,13,0.116,27
20,Missouri,11-3,32.4%,13.0,23,0.157,18
21,Boise State,12-2,32.0%,15.4,18,0.129,23
22,LSU,8-5,31.3%,16.5,16,0.114,29
23,Louisville,9-4,28.8%,12.9,24,0.126,25
24,Tennessee,7-6,28.2%,14.2,19,0.109,30
25,Wisconsin,10-4,27.9%,12.8,25,0.120,26
F/+ Rk,Team,Rec,F/+,S&P+,Rk,FEI,Rk
26,Kansas State,9-4,27.8%,11.9,28,0.129,24
27,Arizona State,10-3,26.5%,10.2,32,0.138,20
28,Arizona,10-4,24.7%,9.5,35,0.130,22
29,Utah,9-4,23.9%,8.0,41,0.143,19
30,Nebraska,9-4,23.4%,10.3,31,0.107,31
31,Miami,6-7,23.1%,12.7,26,0.081,37
32,Florida,7-5,22.6%,11.6,29,0.087,35
33,Virginia Tech,7-6,22.5%,8.9,37,0.115,28
34,Notre Dame,8-5,22.0%,12.1,27,0.077,39
35,Louisiana Tech,9-5,19.7%,9.9,34,0.079,38
36,Boston College,7-6,19.6%,8.4,39,0.094,32
37,Minnesota,8-5,19.4%,9.1,36,0.084,36
38,South Carolina,7-6,18.2%,7.9,43,0.087,34
39,Virginia,5-7,16.2%,7.9,42,0.069,43
40,West Virginia,7-6,15.6%,8.0,40,0.063,45
41,Memphis,10-3,15.2%,5.1,49,0.092,33
42,Texas A&M,8-5,14.3%,10.4,30,0.031,52
43,Pittsburgh,6-7,14.1%,7.9,44,0.052,46
44,Navy,8-5,13.3%,5.7,48,0.068,44
45,Penn State,7-6,11.8%,6.1,46,0.050,48
46,BYU,8-5,11.2%,6.1,47,0.044,50
47,Cincinnati,9-4,9.9%,8.8,38,0.008,59
48,Air Force,10-3,9.6%,2.2,54,0.075,41
49,Colorado State,10-3,8.8%,2.0,56,0.070,42
50,Western Kentucky,8-5,8.4%,3.9,51,0.045,49
F/+ Rk,Team,Rec,F/+,S&P+,Rk,FEI,Rk
51,Duke,9-4,5.8%,-1.0,73,0.077,40
