game,network,time,mediaindicator
Vanderbilt at Wake Forest,ESPNU,9/1/2005 7:00:00 PM,T
Western Michigan at Virginia,ESPN360,9/3/2005 6:00:00 PM,W
Texas A&M at Clemson,ABC,9/3/2005 8:00:00 PM,T
Virginia Tech at NC State,ESPN2 HD,9/4/2005 7:15:00 PM,T
Miami (FL) at Florida St.,ABC HD,9/5/2005 8:00:00 PM,T
Clemson at Maryland,ESPN,9/10/2005 12:00:00 PM,T
Virginia Tech at Duke,JP Sports,9/10/2005 12:00:00 PM,T
Army at Boston College,ESPN Classic,9/10/2005 12:30:00 PM,T
North Carolina at Georgia Tech,ABC,9/10/2005 3:30:00 PM,T
The Citadel at Florida St.,ESPNU,9/10/2005 6:45:00 PM,T
West Virginia at Maryland,JP Sports,9/17/2005 12:00:00 PM,T
Miami (FL) at Clemson,ABC,9/17/2005 3:30:00 PM,T
Ohio at Virginia Tech,ESPNU,9/17/2005 3:30:00 PM,T
Connecticut at Georgia Tech,ESPNU,9/17/2005 6:45:00 PM,T
Florida St. at Boston College,ESPN HD,9/17/2005 7:45:00 PM,T
Colorado at Miami (FL),ABC,9/24/2005 12:00:00 PM,T
Boston College at Clemson,JP Sports,9/24/2005 12:00:00 PM,T
North Carolina at NC State,JP Sports,9/24/2005 12:00:00 PM,T
Georgia Tech at Virginia Tech,ABC,9/24/2005 3:30:00 PM,T
Maryland at Wake Forest,ESPNU,9/24/2005 3:30:00 PM,T
Duke at Virginia,ESPN360,9/24/2005 3:30:00 PM,W
Virginia at Maryland,JP Sports,10/1/2005 12:00:00 PM,T
Syracuse at Florida St.,ABC,10/1/2005 3:30:00 PM,T
Clemson at Wake Forest,ESPNU,10/1/2005 3:30:00 PM,T
USF at Miami (FL),ESPNU,10/1/2005 8:00:00 PM,T
NC State at Georgia Tech,ESPN HD,10/6/2005 7:30:00 PM,T
Marshall at Virginia Tech,ESPN2,10/8/2005 12:00:00 PM,T
Wake Forest at Florida St.,JP Sports,10/8/2005 12:00:00 PM,T
Virginia at Boston College,ABC,10/8/2005 1:00:00 PM,T
Duke at Miami (FL),ESPNU,10/8/2005 3:30:00 PM,T
Clemson at NC State,ESPN HD,10/13/2005 7:30:00 PM,T
Wake Forest at Boston College,JP Sports,10/15/2005 12:00:00 PM,T
Georgia Tech at Duke,ESPNU,10/15/2005 3:30:00 PM,T
Florida St. at Virginia,ESPN HD,10/15/2005 7:45:00 PM,T
Virginia Tech at Maryland,ESPN HD,10/20/2005 7:30:00 PM,T
Virginia at North Carolina,JP Sports,10/22/2005 12:00:00 PM,T
Florida St. at Duke,ESPNU,10/22/2005 3:30:00 PM,T
Boston College at Virginia Tech,ESPN HD,10/27/2005 7:30:00 PM,T
North Carolina at Miami (FL),ESPN2,10/29/2005 12:00:00 PM,T
Southern Miss at NC State,ESPNU,10/29/2005 12:00:00 PM,T
Wake Forest at Duke,JP Sports,10/29/2005 12:00:00 PM,T
Maryland at Florida St.,ABC,10/29/2005 3:30:00 PM,T
Clemson at Georgia Tech,ESPN,10/29/2005 3:30:00 PM,T
Boston College at North Carolina,JP Sports,11/5/2005 12:00:00 PM,T
NC State at Florida St.,ABC,11/5/2005 3:30:00 PM,T
Miami (FL) at Virginia Tech,ESPN HD,11/5/2005 7:45:00 PM,T
Clemson at Florida St.,ESPN HD,11/12/2005 12:00:00 PM,T
Maryland at North Carolina,JP Sports,11/12/2005 12:00:00 PM,T
Georgia Tech at Virginia,ABC,11/12/2005 3:30:00 PM,T
Miami (FL) at Wake Forest,ABC,11/12/2005 3:30:00 PM,T
NC State at Boston College,ESPN2 HD,11/12/2005 7:15:00 PM,T
Virginia Tech at Virginia,ESPN HD,11/19/2005 12:00:00 PM,T
Boston College at Maryland,JP Sports,11/19/2005 12:00:00 PM,T
Georgia Tech at Miami (FL),ESPN HD,11/19/2005 7:45:00 PM,T
Maryland at NC State,ESPN HD,11/26/2005 12:00:00 PM,T
Virginia at Miami (FL),ABC,11/26/2005 3:30:00 PM,T
North Carolina at Virginia Tech,ESPN HD,11/26/2005 7:45:00 PM,T
ACC Championship<br>Florida St. at Virginia Tech,ABC HD,12/3/2005 8:00:00 PM,T
Notre Dame at Pittsburgh,ABC,9/3/2005 8:00:00 PM,T
West Virginia at Syracuse,ABC,9/4/2005 1:30:00 PM,T
Buffalo at Syracuse,ESPN Plus,9/10/2005 3:30:00 PM,T
Oregon St. at Louisville,ESPN,9/17/2005 12:00:00 PM,T
Virginia at Syracuse,ESPN2,9/17/2005 12:00:00 PM,T
UCF at USF,ESPN Plus,9/17/2005 7:00:00 PM,T
East Carolina at West Virginia,ESPN Plus,9/24/2005 12:00:00 PM,T
Louisville at USF,ESPNU,9/24/2005 6:45:00 PM,T
Pittsburgh at Rutgers,ESPN2 HD,9/30/2005 8:00:00 PM,T
Virginia Tech at West Virginia,ESPN,10/1/2005 12:00:00 PM,T
FAU at Louisville,ESPN Plus,10/1/2005 12:00:00 PM,T
Syracuse at Connecticut,ESPN2 HD,10/7/2005 8:00:00 PM,T
West Virginia at Rutgers,ESPN Plus,10/8/2005 12:00:00 PM,T
North Carolina at Louisville,WHAS,10/8/2005 4:30:00 PM,T
Rutgers at Syracuse,ESPN Plus,10/15/2005 12:00:00 PM,T
USF at Pittsburgh,ESPN360,10/15/2005 2:00:00 PM,W
Louisville at West Virginia,ABC,10/15/2005 3:30:00 PM,T
Louisville at Cincinnati,ESPNU,10/22/2005 12:00:00 PM,T
Syracuse at Pittsburgh,ESPN Plus,10/22/2005 12:00:00 PM,T
Rutgers at Connecticut,ESPN Plus,10/22/2005 3:00:00 PM,T
Cincinnati at Syracuse,ESPN Plus,10/29/2005 12:00:00 PM,T
Connecticut at West Virginia,ESPN2 HD,11/2/2005 7:30:00 PM,T
Pittsburgh at Louisville,ESPN HD,11/3/2005 7:30:00 PM,T
USF at Rutgers,ESPN Plus,11/5/2005 12:00:00 PM,T
West Virginia at Cincinnati,ESPN2 HD,11/9/2005 7:30:00 PM,T
Rutgers at Louisville,ESPN2 HD,11/11/2005 8:00:00 PM,T
Connecticut at Pittsburgh,ESPN Plus,11/12/2005 12:00:00 PM,T
Cincinnati at USF,ESPN Plus,11/19/2005 12:00:00 PM,T
Pittsburgh at West Virginia,ESPN HD,11/24/2005 8:00:00 PM,T
USF at Connecticut,ABC,11/26/2005 3:30:00 PM,T
Syracuse at Louisville,ESPNU,11/26/2005 3:30:00 PM,T
Louisville at Connecticut,ESPN HD,12/3/2005 7:45:00 PM,T
TCU at Oklahoma,ABC,9/3/2005 12:00:00 PM,T
Colorado St. at Colorado,TBS,9/3/2005 3:30:00 PM,T
UL-Lafayette at Texas,FSN,9/3/2005 7:00:00 PM,T
Maine at Nebraska,FSN PPV,9/3/2005 7:00:00 PM,T
Tulsa at Oklahoma,FSN,9/10/2005 12:30:00 PM,T
Iowa at Iowa St.,ABC,9/10/2005 3:30:00 PM,T
Wake Forest at Nebraska,TBS,9/10/2005 7:00:00 PM,T
New Mexico St. at Colorado,FSN,9/10/2005 10:00:00 PM,T
SMU at Texas A&M,FSN,9/17/2005 12:30:00 PM,T
Pittsburgh at Nebraska,ABC,9/17/2005 3:30:00 PM,T
Rice at Texas,FSN,9/17/2005 7:00:00 PM,T
Arkansas St. at Oklahoma St.,FOX Sports Webcast,9/17/2005 7:00:00 PM,W
Texas St. at Texas A&M,FSN Regional,9/22/2005 8:30:00 PM,T
Indiana St. at Texas Tech,FOX Sports Webcast,9/24/2005 7:00:00 PM,W
Texas at Missouri,ABC,10/1/2005 12:00:00 PM,T
Baylor at Texas A&M,FSN,10/1/2005 12:30:00 PM,T
Iowa St. at Nebraska,ABC,10/1/2005 3:30:00 PM,T
Kansas St. at Oklahoma,FSN,10/1/2005 7:00:00 PM,T
Kansas at Kansas St.,FSN,10/8/2005 12:00:00 PM,T
Oklahoma vs. Texas<br>(at Dallas, TX),ABC,10/8/2005 1:00:00 PM,T
Texas Tech at Nebraska,TBS,10/8/2005 4:00:00 PM,T
Texas A&M at Colorado,FSN,10/8/2005 7:00:00 PM,T
Kansas St. at Texas Tech,ABC,10/15/2005 12:00:00 PM,T
Colorado at Texas,ABC,10/15/2005 3:30:00 PM,T
Oklahoma vs. Kansas<br>(at Kansas City, MO),TBS,10/15/2005 7:00:00 PM,T
Nebraska at Baylor,FSN PPV,10/15/2005 7:00:00 PM,T
Nebraska at Missouri,FSN,10/22/2005 12:30:00 PM,T
Texas Tech at Texas,ABC,10/22/2005 3:30:00 PM,T
Baylor at Oklahoma,FSN,10/22/2005 7:00:00 PM,T
Kansas at Colorado,FSN PPV,10/22/2005 7:00:00 PM,T
Oklahoma at Nebraska,ABC,10/29/2005 12:00:00 PM,T
Texas Tech at Baylor,FSN,10/29/2005 12:30:00 PM,T
Iowa St. at Texas A&M,ABC,10/29/2005 3:30:00 PM,T
Texas at Oklahoma St.,TBS,10/29/2005 7:00:00 PM,T
Texas at Baylor,FSN,11/5/2005 12:30:00 PM,T
Missouri at Colorado,ABC,11/5/2005 3:30:00 PM,T
Texas A&M at Texas Tech,FSN,11/5/2005 7:00:00 PM,T
Texas A&M at Oklahoma,ABC,11/12/2005 12:00:00 PM,T
Kansas at Texas,ABC,11/12/2005 3:30:00 PM,T
Colorado at Iowa St.,FSN,11/12/2005 7:00:00 PM,T
Oklahoma at Texas Tech,FSN,11/19/2005 12:00:00 PM,T
Texas at Texas A&M,ABC,11/25/2005 12:00:00 PM,T
Nebraska at Colorado,ABC,11/25/2005 3:30:00 PM,T
Iowa St. at Kansas,FSN,11/26/2005 12:30:00 PM,T
Oklahoma St. at Oklahoma,ABC,11/26/2005 3:30:00 PM,T
Big 12 Championship<br>Texas vs. Colorado<br>(at Houston, TX),ABC HD,12/3/2005 1:00:00 PM,T
Miami (OH) at Ohio St.,ABC,9/3/2005 12:00:00 PM,T
Bowling Green at Wisconsin,ESPN,9/3/2005 12:00:00 PM,T
Rutgers at Illinois,ESPN2,9/3/2005 12:00:00 PM,T
Ohio at Northwestern,ESPNU,9/3/2005 12:00:00 PM,T
Kent St. at Michigan St.,ESPN Plus,9/3/2005 12:00:00 PM,T
Ball St. at Iowa,ESPN Plus,9/3/2005 12:00:00 PM,T
Northern Illinois at Michigan,ABC,9/3/2005 3:30:00 PM,T
USF at Penn St.,ESPN Plus,9/3/2005 3:30:00 PM,T
Notre Dame at Michigan,ABC,9/10/2005 12:00:00 PM,T
Temple at Wisconsin,ESPN Plus,9/10/2005 12:00:00 PM,T
Cincinnati at Penn St.,ESPN Plus,9/10/2005 12:00:00 PM,T
Akron at Purdue,ESPN360,9/10/2005 1:00:00 PM,W
Colorado St. at Minnesota,ESPN2,9/10/2005 2:00:00 PM,T
Hawai'i at Michigan St.,ESPN Plus,9/10/2005 3:30:00 PM,T
Northern Illinois at Northwestern,ESPN Classic,9/10/2005 4:00:00 PM,T
Texas at Ohio St.,ABC,9/10/2005 8:00:00 PM,T
Eastern Michigan at Michigan,ESPN Plus,9/17/2005 12:00:00 PM,T
San Diego St. at Ohio St.,ABC,9/17/2005 3:30:00 PM,T
Northern Iowa at Iowa,ESPN Plus,9/17/2005 3:30:00 PM,T
Central Michigan at Penn St.,ESPN Plus,9/17/2005 3:30:00 PM,T
Kentucky at Indiana,ESPN Classic,9/17/2005 6:45:00 PM,T
FAU at Minnesota,ESPN Plus,9/17/2005 8:30:00 PM,T
Iowa at Ohio St.,ABC,9/24/2005 12:00:00 PM,T
Purdue at Minnesota,ESPN,9/24/2005 12:00:00 PM,T
Penn St. at Northwestern,ESPN2,9/24/2005 12:00:00 PM,T
Michigan St. at Illinois,ESPN Plus,9/24/2005 12:00:00 PM,T
Michigan at Wisconsin,ESPN2 HD,9/24/2005 6:00:00 PM,T
Michigan at Michigan St.,ABC,10/1/2005 12:00:00 PM,T
Indiana at Wisconsin,ESPN2,10/1/2005 12:00:00 PM,T
Illinois at Iowa,ESPN Plus,10/1/2005 12:00:00 PM,T
Minnesota at Penn St.,ABC,10/1/2005 3:30:00 PM,T
Notre Dame at Purdue,ESPN HD,10/1/2005 7:45:00 PM,T
Wisconsin at Northwestern,ESPN,10/8/2005 12:00:00 PM,T
Illinois at Indiana,ESPN Plus,10/8/2005 12:00:00 PM,T
Minnesota at Michigan,ABC,10/8/2005 1:00:00 PM,T
Iowa at Purdue,ESPN,10/8/2005 4:30:00 PM,T
Ohio St. at Penn St.,ESPN HD,10/8/2005 7:45:00 PM,T
Michigan St. at Ohio St.,ABC,10/15/2005 12:00:00 PM,T
Wisconsin at Minnesota,ESPN HD,10/15/2005 12:00:00 PM,T
Northwestern at Purdue,ESPN2,10/15/2005 1:00:00 PM,T
Indiana at Iowa,ESPN Plus,10/15/2005 12:00:00 PM,T
Penn St. at Michigan,ABC,10/15/2005 3:30:00 PM,T
Michigan at Iowa,ABC,10/22/2005 12:00:00 PM,T
Ohio St. at Indiana,ESPN HD/ESPN Plus,10/22/2005 12:00:00 PM,T
Northwestern at Michigan St.,ESPN2,10/22/2005 12:00:00 PM,T
Purdue at Wisconsin,ABC,10/22/2005 3:30:00 PM,T
Penn St. at Illinois,ESPN2 HD,10/22/2005 7:00:00 PM,T
Ohio St. at Minnesota,ABC,10/29/2005 12:00:00 PM,T
Wisconsin at Illinois,ESPN,10/29/2005 12:00:00 PM,T
Indiana at Michigan St.,ESPN Plus,10/29/2005 12:00:00 PM,T
Purdue at Penn St.,ABC,10/29/2005 3:30:00 PM,T
Michigan at Northwestern,ESPN HD,10/29/2005 7:00:00 PM,T
Iowa at Northwestern,ESPN HD,11/5/2005 12:00:00 PM,T
Minnesota at Indiana,ESPN2,11/5/2005 12:00:00 PM,T
Michigan St. at Purdue,ESPN Plus,11/5/2005 12:00:00 PM,T
Wisconsin at Penn St.,ABC,11/5/2005 3:30:00 PM,T
Illinois at Penn St.,ESPN,11/5/2005 3:30:00 PM,T
Northwestern at Ohio St.,ABC,11/12/2005 12:00:00 PM,T
Indiana at Michigan,ESPN2,11/12/2005 12:00:00 PM,T
Michigan St. at Minnesota,ESPN Plus,11/12/2005 12:00:00 PM,T
Illinois at Purdue,ESPN360,11/12/2005 12:00:00 PM,W
Iowa at Wisconsin,ESPN,11/12/2005 3:30:00 PM,T
Minnesota at Iowa,ESPN2,11/19/2005 12:00:00 PM,T
Northwestern at Illinois,ESPN Plus,11/19/2005 12:00:00 PM,T
Ohio St. at Michigan,ABC,11/19/2005 1:00:00 PM,T
Purdue at Indiana,ESPN360,11/19/2005 1:00:00 PM,W
Penn St. at Michigan St.,ESPN HD,11/19/2005 4:00:00 PM,T
Oregon vs. Houston<br>(at Reliant Stadium),ESPN2,9/1/2005 7:00:00 PM,T
Minnesota at Tulsa,ESPN2,9/1/2005 10:00:00 PM,T
Duke at East Carolina,CSTV,9/3/2005 1:00:00 PM,T
Ole Miss at Memphis,ESPN,9/5/2005 4:00:00 PM,T
Kansas St. at Marshall,ESPN2,9/10/2005 10:45:00 AM,T
Sam Houston St. at Houston,C-USA All Access,9/10/2005 7:00:00 PM,W
TCU at SMU,CSTV,9/10/2005 9:30:00 PM,T
Houston at UTEP,ESPN2 HD,9/16/2005 8:00:00 PM,T
Jacksonville St. at UAB,C-USA All Access,9/17/2005 7:00:00 PM,W
McNeese St. at Southern Miss,C-USA All Access,9/17/2005 7:00:00 PM,W
Mississippi St. vs. Tulane<br>(at Shreveport, LA),i Network,9/17/2005 8:00:00 PM,T
Chattanooga at Memphis,C-USA All Access,9/17/2005 8:00:00 PM,W
Tulane at SMU,C-USA All Access,9/24/2005 2:00:00 PM,W
Marshall at UCF,C-USA All Access,9/24/2005 6:00:00 PM,T
Memphis at Tulsa,WLMT,9/24/2005 7:00:00 PM,T
New Mexico at UTEP,CSTV,9/24/2005 9:00:00 PM,T
SE Louisiana vs. Tulane<br>(at Baton Rouge, LA),C-USA All Access,10/1/2005 3:30:00 PM,W
SMU at Marshall,CSTV,10/1/2005 4:00:00 PM,T
Southern Miss at East Carolina,C-USA All Access,10/1/2005 6:00:00 PM,W
Houston at Tulsa,C-USA All Access,10/1/2005 7:00:00 PM,W
Rice at UAB,C-USA All Access,10/1/2005 7:00:00 PM,W
UTEP at Memphis,CSTV,10/1/2005 8:00:00 PM,T
Houston vs. Tulane<br>(at Lafayette, LA),i Network,10/8/2005 6:00:00 PM,T
Memphis at UCF,WLMT,10/8/2005 6:00:00 PM,T
Rice at East Carolina,C-USA All Access,10/8/2005 6:00:00 PM,T
SMU at UAB,C-USA All Access,10/8/2005 7:00:00 PM,T
Tulane at Southern Miss,CSTV,10/8/2005 8:00:00 PM,T
UTEP vs. Tulane<br>(at Ruston, LA),ESPN HD,10/14/2005 8:00:00 PM,T
East Carolina at SMU,WITN,10/15/2005 3:00:00 PM,T
Tulsa at Rice,KWHB,10/15/2005 4:00:00 PM,T
UAB at Marshall,i Network,10/15/2005 5:00:00 PM,T
Memphis at Houston,CSTV,10/15/2005 5:00:00 PM,T
UCF at Southern Miss,C-USA All Access,10/15/2005 7:00:00 PM,W
Southern Miss at UAB,ESPN HD,10/21/2005 8:00:00 PM,T
SMU at Tulsa,C-USA All Access,10/22/2005 3:00:00 PM,T
East Carolina at Memphis,CSTV,10/22/2005 3:30:00 PM,T
Marshall at UTEP,i Network,10/22/2005 9:00:00 PM,T
UCF at East Carolina,C-USA All Access,10/29/2005 2:00:00 PM,T
UTEP at Rice,i Network,10/29/2005 6:00:00 PM,T
Marshall vs. Tulane<br>(at Mobile, AL),CSTV,10/29/2005 7:00:00 PM,T
UAB at Memphis,ESPN2 HD,11/1/2005 7:30:00 PM,T
Rice at SMU,C-USA All Access,11/5/2005 3:00:00 PM,W
Houston at UCF,i Network,11/5/2005 6:00:00 PM,T
Tulsa at UTEP,KWHB,11/5/2005 9:00:00 PM,T
Southern Miss at Marshall,ESPN2 HD,11/8/2005 7:30:00 PM,T
East Carolina at Tulsa,C-USA All Access,11/12/2005 3:00:00 PM,W
UCF at UAB,CSTV,11/12/2005 4:00:00 PM,T
