game,network,time,mediaindicator,
South Carolina at Vanderbilt,ESPN HD,08/30/2012 19:00,T,
UCF at Akron,ESPN3,08/30/2012 19:00,W,
Eastern Michigan at Ball St.,ESPN3,08/30/2012 19:00,W,
Southeast Missouri St. at Central Michigan,ESPN3,08/30/2012 19:00,W,
Towson at Kent St.,CSN Mid-Atlantic PLUS,08/30/2012 19:00,T,
Northern Colorado at Utah,Pac-12 Networks HD,08/30/2012 19:15,T,
UCLA at Rice,CBS Sports Network HD,08/30/2012 19:30,T,
Massachusetts at Connecticut,Big East Network HD,08/30/2012 19:30,T,
McNeese St. at Middle Tennessee,ESPN3,08/30/2012 19:30,W,
Sacramento St. at New Mexico St.,AggieVision,08/30/2012 20:00,T,
Southern Utah at Utah St.,KMYU,08/30/2012 20:00,T,
Eastern Washington at Idaho,,08/30/2012 21:00,W,
Washington St. at BYU,ESPN HD,08/30/2012 22:15,T,
Northern Arizona at Arizona St.,Pac-12 Networks HD,08/30/2012 22:30,T,
Minnesota at UNLV,CBS Sports Network HD,08/30/2012 23:00,T,
Villanova at Temple,ESPN3,08/31/2012 19:00,W,
NC State vs. Tennessee<br>(at Atlanta, GA),ESPNU HD,08/31/2012 19:30,T
Boise St. at Michigan St.,ESPN HD,08/31/2012 20:00,T,
Wagner at FAU,,08/31/2012 20:00,W,
San Jose St. at Stanford,Pac-12 Networks HD,08/31/2012 22:00,T,
Southern at New Mexico,,09/01/2012 00:00,N,
Notre Dame vs. Navy<br>(at Dublin, Ireland),CBS HD,09/01/2012 09:00,T
Western Michigan at Illinois,ESPNU HD,09/01/2012 12:00,T,
Miami (OH) at Ohio St.,BTN HD,09/01/2012 12:00,T,
Ohio at Penn St.,ESPN HD<br>ESPN 3D,09/01/2012 12:00,T,
Buffalo at Georgia,SEC Network HD,09/01/2012 12:00,T,
Marshall at West Virginia,F/X HD,09/01/2012 12:00,T,
Northwestern at Syracuse,ESPN2 HD,09/01/2012 12:00,T,
Troy at UAB,FOX College Sports,09/01/2012 12:00,T,
Appalachian St. at East Carolina,FSN HD,09/01/2012 12:00,T,
Elon at North Carolina,ACC Network HD,09/01/2012 12:30,T,
Idaho St. at Air Force,,09/01/2012 14:00,W,
UTSA at South Alabama,ESPN3,09/01/2012 14:00,W,
Richmond at Virginia,ACC RSNs HD,09/01/2012 15:00,T,
William & Mary at Maryland,ESPN3,09/01/2012 15:00,W,
Nevada at California,Pac-12 Networks HD,09/01/2012 15:00,T,
Eastern Kentucky at Purdue,BTN HD,09/01/2012 15:30,T,
Northern Iowa at Wisconsin,BTN HD,09/01/2012 15:30,T,
Southern Miss at Nebraska,ABC/ESPN2 HD,09/01/2012 15:30,T,
Miami (FL) at Boston College,ABC/ESPN2 HD,09/01/2012 15:30,T,
Bowling Green at Florida,ESPN HD,09/01/2012 15:30,T,
Iowa vs. Northern Illinois<br>(at Chicago, IL),ESPNU HD,09/01/2012 15:30,T
Tulsa at Iowa St.,FSN HD,09/01/2012 15:30,T,
Colorado St. vs. Colorado <br>(at Denver, CO),F/X HD,09/01/2012 16:00,T
Youngstown St. at Pittsburgh,ESPN3,09/01/2012 18:00,W,
Murray St. at Florida St.,ESPN3,09/01/2012 18:00,W,
Liberty at Wake Forest,ESPN3,09/01/2012 18:30,W,
FIU at Duke,ESPN3,09/01/2012 19:00,W,
Southeastern Louisiana at Missouri,FSN PPV HD,09/01/2012 19:00,T,
Chattanooga at USF,ESPN3,09/01/2012 19:00,W,
Austin Peay at Western Kentucky,,09/01/2012 19:00,W,
UT-Martin at Memphis,,09/01/2012 19:00,W,
Clemson vs. Auburn<br>(at Atlanta, GA),ESPN HD,09/01/2012 19:00,T
North Texas at LSU,ESPNU HD,09/01/2012 19:00,T,
Jackson St. at Mississippi St.,SEC/FOX RSNs HD,09/01/2012 19:00,T,
Central Arkansas at Ole Miss,CSS PPV,09/01/2012 19:00,T,
Jacksonville St. at Arkansas,ARSN PPV,09/01/2012 19:00,T,
South Dakota St. at Kansas,Jayhawk TV,09/01/2012 19:00,T,
Missouri St. at Kansas St.,,09/01/2012 19:00,W,
Savannah St. at Oklahoma St.,FOX College Sports,09/01/2012 19:00,T,
